,IsRecentlyVerified,DateLastVerified,ID,UUID,DataProviderID,OperatorID,UsageTypeID,UsageCost,Connections,NumberOfPoints,StatusTypeID,DateLastStatusUpdate,DataQualityLevel,DateCreated,SubmissionStatusTypeID,AddressInfo.ID,AddressInfo.Title,AddressInfo.AddressLine1,AddressInfo.Town,AddressInfo.StateOrProvince,AddressInfo.Postcode,AddressInfo.CountryID,AddressInfo.Latitude,AddressInfo.Longitude,AddressInfo.ContactTelephone1,AddressInfo.RelatedURL,AddressInfo.DistanceUnit,AddressInfo.AddressLine2,DataProvidersReference,AddressInfo.ContactEmail,AddressInfo.AccessComments,GeneralComments,OperatorsReference,AddressInfo.ContactTelephone2,ID,ConnectionTypeID,StatusTypeID,LevelID,PowerKW,CurrentTypeID,Quantity,Reference,Amps,Voltage,Comments
10,True,2025-07-03T07:16:00Z,456519,C6022FC2-B05D-4DC8-9765-89D1B10B50FE,38,3632.0,4.0,,"[{'ID': 766166, 'ConnectionTypeID': 33, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 3, 'Amps': 640, 'Voltage': 500, 'PowerKW': 320, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 766167, 'ConnectionTypeID': 33, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 3, 'Amps': 640, 'Voltage': 500, 'PowerKW': 320, 'CurrentTypeID': 30, 'Quantity': 1}]",,50,2025-07-03T07:16:00Z,1,2025-06-21T09:42:00Z,200,456908,Jumbo 6594 Groningen Reitdiephaven (PowerGo),Reitdiephaven 277,Groningen,,9746 RE,159,53.2358344,6.5217084,,,0,,29307,,,,,,766166.0,33.0,50.0,3.0,320.0,30.0,1.0,1,640.0,500.0,
11,True,2025-07-03T07:16:00Z,456518,63438A6B-9DBB-4485-ACB0-AA9CEC9BBF8C,38,3632.0,4.0,,"[{'ID': 766164, 'ConnectionTypeID': 1036, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 32, 'Voltage': 230, 'PowerKW': 12.7, 'CurrentTypeID': 20, 'Quantity': 1}, {'ID': 766165, 'ConnectionTypeID': 1036, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 32, 'Voltage': 230, 'PowerKW': 12.7, 'CurrentTypeID': 20, 'Quantity': 1}]",,50,2025-07-03T07:16:00Z,1,2025-06-21T09:42:00Z,200,456907,Pezy Group - Kieler Bocht 67 (PowerGo),Kieler Bocht 67,Groningen,,9723 JA,159,53.20727539,6.6271534,,,0,,42584,,,,,,766164.0,1036.0,50.0,2.0,12.7,20.0,1.0,1,32.0,230.0,
12,True,2025-07-03T07:16:00Z,456517,4A6F2CF0-77DC-41A2-BF48-04613F1AE376,38,3632.0,4.0,,"[{'ID': 766162, 'ConnectionTypeID': 1036, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 32, 'Voltage': 230, 'PowerKW': 12.7, 'CurrentTypeID': 20, 'Quantity': 1}, {'ID': 766163, 'ConnectionTypeID': 1036, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 32, 'Voltage': 230, 'PowerKW': 12.7, 'CurrentTypeID': 20, 'Quantity': 1}]",,50,2025-07-03T07:16:00Z,1,2025-06-21T09:42:00Z,200,456906,Bornholmstraat 76 (PowerGo),Bornholmstraat 76,Groningen,,9723AZ,159,53.2031996,6.6047963,,,0,,19899,,,,,,766162.0,1036.0,50.0,2.0,12.7,20.0,1.0,1,32.0,230.0,
13,True,2025-07-03T07:16:00Z,456516,D1297C6E-C89C-4631-B09D-6374F4656DAA,38,3632.0,4.0,,"[{'ID': 766160, 'ConnectionTypeID': 1036, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 32, 'Voltage': 230, 'PowerKW': 12.7, 'CurrentTypeID': 20, 'Quantity': 1}, {'ID': 766161, 'ConnectionTypeID': 1036, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 32, 'Voltage': 230, 'PowerKW': 12.7, 'CurrentTypeID': 20, 'Quantity': 1}]",,50,2025-07-03T07:16:00Z,1,2025-06-21T09:42:00Z,200,456905,Bornholmstraat 82 (PowerGo),Bornholmstraat 82,Groningen,,9723AZ,159,53.2030298,6.6057479,,,0,,19900,,,,,,766160.0,1036.0,50.0,2.0,12.7,20.0,1.0,1,32.0,230.0,
14,True,2025-07-03T07:16:00Z,456515,79686337-C191-456E-A1CA-24E1E8928B4A,38,3632.0,4.0,,"[{'ID': 766158, 'ConnectionTypeID': 1036, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 32, 'Voltage': 230, 'PowerKW': 12.7, 'CurrentTypeID': 20, 'Quantity': 1}, {'ID': 766159, 'ConnectionTypeID': 1036, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 32, 'Voltage': 230, 'PowerKW': 12.7, 'CurrentTypeID': 20, 'Quantity': 1}]",,50,2025-07-03T07:16:00Z,1,2025-06-21T09:42:00Z,200,456904,Hotel Parkzicht Veendam (PowerGo),Museumplein 3,Veendam,,9641AD,159,53.10711689,6.87472602,,,0,,16187,,,,,,766158.0,1036.0,50.0,2.0,12.7,20.0,1.0,1,32.0,230.0,
15,True,2025-07-03T07:16:00Z,456514,DFA9C7CC-AFDD-4730-8FBA-EB0ABDD1BE20,38,3632.0,4.0,,"[{'ID': 766155, 'ConnectionTypeID': 33, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 3, 'Amps': 60, 'Voltage': 500, 'PowerKW': 30, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 766156, 'ConnectionTypeID': 33, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 3, 'Amps': 60, 'Voltage': 500, 'PowerKW': 30, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 766157, 'ConnectionTypeID': 33, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 3, 'Amps': 60, 'Voltage': 500, 'PowerKW': 30, 'CurrentTypeID': 30, 'Quantity': 1}]",,50,2025-07-03T07:16:00Z,1,2025-06-21T09:42:00Z,200,456903,The Ranch Veendam (PowerGo),Parkweg 1,Veendam,,9642 ZZ,159,53.1066913,6.8493242,,,0,,13746,,,,,,766155.0,33.0,50.0,3.0,30.0,30.0,1.0,1,60.0,500.0,
16,True,2025-07-03T07:16:00Z,456513,50323941-ABE7-46ED-8F13-F04BB0214F2D,38,3632.0,4.0,,"[{'ID': 766153, 'ConnectionTypeID': 33, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 3, 'Amps': 60, 'Voltage': 500, 'PowerKW': 30, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 766154, 'ConnectionTypeID': 33, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 3, 'Amps': 60, 'Voltage': 500, 'PowerKW': 30, 'CurrentTypeID': 30, 'Quantity': 1}]",,50,2025-07-03T07:16:00Z,1,2025-06-21T09:42:00Z,200,456902,Basic-Fit 1201 Assen Nijverheidsweg (PowerGo),Nijverheidsweg 1,Assen,,9403 VN,159,53.01102365,6.59002223,,,0,,23613,,,,,,766153.0,33.0,50.0,3.0,30.0,30.0,1.0,1,60.0,500.0,
17,True,2025-09-05T08:39:00Z,456512,FD28AFB0-3326-41A5-87C6-2EBD9D4A0003,38,3632.0,4.0,,"[{'ID': 766151, 'ConnectionTypeID': 33, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 3, 'Amps': 180, 'Voltage': 500, 'PowerKW': 90, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 766152, 'ConnectionTypeID': 33, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 3, 'Amps': 180, 'Voltage': 500, 'PowerKW': 90, 'CurrentTypeID': 30, 'Quantity': 1}]",,50,2025-09-05T08:39:00Z,1,2025-06-21T09:42:00Z,200,456901,Jumbo 3524 Gieten Stationsstraat (PowerGo),Stationsstraat 37,Gieten,,9461GR,159,53.00180054,6.76408958,,,0,,19071,,,,,,766151.0,33.0,50.0,3.0,90.0,30.0,1.0,1,180.0,500.0,
18,True,2025-07-03T07:16:00Z,456510,9C045021-302A-4A18-9491-CF1EE7A5AF1B,38,3632.0,4.0,,"[{'ID': 766143, 'ConnectionTypeID': 33, 'Reference': '1', 'StatusTypeID': 0, 'LevelID': 3, 'Amps': 480, 'Voltage': 500, 'PowerKW': 240, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 766144, 'ConnectionTypeID': 33, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 3, 'Amps': 480, 'Voltage': 500, 'PowerKW': 240, 'CurrentTypeID': 30, 'Quantity': 1}]",,0,2025-07-03T07:16:00Z,1,2025-06-21T09:42:00Z,200,456899,Restaurant De Zingende Wielen (PowerGo),Akkerweg 39,Den Oever,,1779GJ,159,52.92504277,5.01945559,,,0,,7666,,,,,,766143.0,33.0,0.0,3.0,240.0,30.0,1.0,1,480.0,500.0,
19,True,2025-07-03T07:16:00Z,456506,FF59072A-47F4-400A-845F-38483E5F234E,38,3632.0,4.0,,"[{'ID': 766129, 'ConnectionTypeID': 33, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 3, 'Amps': 60, 'Voltage': 500, 'PowerKW': 30, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 766130, 'ConnectionTypeID': 33, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 3, 'Amps': 60, 'Voltage': 500, 'PowerKW': 30, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 766131, 'ConnectionTypeID': 33, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 3, 'Amps': 60, 'Voltage': 500, 'PowerKW': 30, 'CurrentTypeID': 30, 'Quantity': 1}]",,50,2025-07-03T07:16:00Z,1,2025-06-21T09:42:00Z,200,456895,Orvelte P2 (PowerGo),De Wiet 21,Orvelte,,9441PG,159,52.8444344,6.6633727,,,0,,16190,,,,,,766129.0,33.0,50.0,3.0,30.0,30.0,1.0,1,60.0,500.0,
